Question,Num
你们学校是一所什么样的大学？,1
学校类别是什么？,2
校长是谁？,3
学校所在城市气候怎么样？,4
学校环境怎么样？,5
可以来学校参观吗？,6
学校周边环境怎么样？,7
学校的占地面积有多大？,8
学校有几个校区，地址在哪？,9
学校近期是否会搬校区？,10
学校有多少在校生？,11
学校官方网址是什么？,12
学校招生网址是多少？,13
学校招生办公室的上班时间？,14
学校招生办的联系方式？,15
招生热线免费吗？,16
有招生咨询QQ吗？,17
教务处的电话是多少？,18
学生处的电话是？,19
学校有哪些特色的校园文化活动？,20
学校有开放日吗？,21
学校有哪些社团？,22
学校的师资力量如何？,23
学校的教学基础设施怎么样？,24
学校教学楼有电梯吗？,25
图书馆有多大？,26
图书馆对外开放吗？,27
学校有游泳馆吗？,28
有篮球馆吗？,29
学校的校园风气怎么样？,30
学校有哪些科研成果？,31
有博士硕士点吗？,32
学校设有哪些学院？,33
学校允许修双学位吗？,34
副修可以拿学位么？,35
学校奖学金有哪几类？,36
在校生出国留学交流的机会多吗？,37
学校有外国学生吗？,38
学校男女比例如何？,39
入学后能转专业吗？需要什么样的条件？,40
贵校的学生在大学期间有几次调专业机会？ ,41
转专业要花钱吗？,42
各专业简介？,43
学校理科专业都有哪些？,44
学校文科专业都有哪些？,45
文理兼收的专业有哪些？,46
贵校哪些专业适合女生报考？ ,47
什么是GPA？,48
学校能保研吗？ ,49
各专业都可以报考研究生吗？,50
学校的考研录取率是多少？,51
毕业后拿到的是什么文凭？,52
校园兼职多吗？ ,53
校园招聘多吗？,54
应届毕业生的就业情况如何？,55
各学院在哪个校区？,56
学校开设了哪些专业？,57
学校有哪些优势专业？,58
海南省新生入学奖学金获奖条件？,59
浙江省新生入学奖学金获奖条件？,60
江苏省新生入学奖学金获奖条件？,61
山东省新生入学奖学金获奖条件？,62
上海市新生入学奖学金获奖条件？,63
其它750分满分的省、市、区新生入学奖学金获奖条件？,64
华信奖学金获得要求是什么？,65
广东提前一批全额奖学金获得要求是什么？,66
广东提前一批半额奖学金获得要求是什么？,67
珠海籍新生奖学金获得要求是什么？,68
广东综合评价录取奖学金获得要求是什么？,69
奖学金续得有什么要求？,70
UIC设有哪些在校奖助学金？,71
专业及课程如何设置？,72
教学质量怎样保证？,73
贵校颁发的香港浸会大学的学士学位证为什么有“荣誉”二字？,74
 UIC的教育模式是怎样的？,75
什么是博雅教育？,76
什么是全人教育？,77
什么是四维教育？,78
学生入读后能否适应UIC的全英文教学环境？,79
舍堂（UIC宿舍）的管理情况怎么样?,80
学校提供哪些辅导及个人成长帮助?,81
出国的途径有哪些？,82
学校是2+2吗？,83
副修课程有哪些？,84
在UIC可修读什么小语种？,85
UIC暑期多久？,86
什么是暑期课程？,87
海外暑期课程有哪些国家？,88
海外暑期课程有哪些学校？,89
海外暑期课程学习多久？,90
海外暑期课程费用多少？,91
海外暑期课程有学分吗？可以转学分吗？,92
暑期课程是必须参加的吗？,93
在UIC暑假，学生只是去修暑期课程吗？,94
交换生项目有哪些国家、学校？,95
大几可申请交换生？,96
申请交换生什么条件？,97
交换生可以出去学习多久？,98
交换生的费用？,99
为什么要申请交换生？,100
交换生的名额？,101
UIC管理严格吗？,102
出勤率规定？,103
学生会被退学吗？,104
GPA是怎么计算的？,105
UIC评分体系？,106
毕业证书学分要求？,107
学位证书成绩要求？,108
学位证书等级分类？,109
会计学专业的专业认证是指什么？,110
UIC的课程结构和国内的大学有差别吗？,111
同学在校期间可以去香港浸会大学吗？,112
大几可参加HKBU暑期课程？,113
香港浸会大学暑期课程报名绩点要求？,114
香港浸会大学暑期课程费用大概多少？,115
香港浸会大学暑期课程学习多久？,116
香港浸会大学暑期课程学分可转吗？,117
学生申请香港浸会大学研究生有优势吗？,118
毕业生去海外读研的多吗？,119
申请海外研究生学校会提供帮助吗？,120